LocationID,BusinessName,Score,URL,Contact,Type,Category,Street,City,State,Zipcode,Country,Address,MapLink,SearchQuery
11th+Avenue+Package+Store,11th Avenue Package Store,4.3,,,Liquor store,Retail,1150  11th Ave,Birmingham,AL,35205,United States,"1150  11th Ave, Birmingham, AL 35205, United States",https://www.google.com/maps/place/11th+Avenue+Package+Store/data=!4m7!3m6!1s0x88891be449a62f15:0xd4a603c3f9e0030f!8m2!3d33.4952232!4d-86.8088041!16s%2Fg%2F12ll2sdbg!19sChIJFS-mSeQbiYgRDwPg-cMDptQ?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
Highland+Package,Highland Package,4.2,http://highlandpackagestore.com/,1 205-933-3234,Liquor store,Retail,109  20th St,Birmingham,AL,35233,United States,"109  20th St, Birmingham, AL 35233, United States",https://www.google.com/maps/place/Highland+Package/data=!4m7!3m6!1s0x8889104e95eefffd:0xd6098763d70b712d!8m2!3d33.5114959!4d-86.8033244!16s%2Fg%2F1td18m2g!19sChIJ_f_ulU4QiYgRLXEL12OHCdY?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
LeNell%27s+Beverage+Boutique,LeNell's Beverage Boutique,4.8,https://lenells.com/,1 205-536-3557,Liquor store,Retail,1208  32nd St,Birmingham,AL,35234,United States,"1208  32nd St, Birmingham, AL 35234, United States",https://www.google.com/maps/place/LeNell%27s+Beverage+Boutique/data=!4m7!3m6!1s0x88891b0bc745d13f:0x64e176109d203953!8m2!3d33.5353614!4d-86.7984241!16s%2Fg%2F11g6hvf1z3!19sChIJP9FFxwsbiYgRUzkgnRB24WQ?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
Dee%27s+Alabama+Beverage+Co,Dee's Alabama Beverage Co,4.3,,1 205-322-3333,Liquor store,Retail,2398  Green Springs Hwy,Birmingham,AL,35205,United States,"2398  Green Springs Hwy, Birmingham, AL 35205, United States",https://www.google.com/maps/place/Dee%27s+Alabama+Beverage+Co/data=!4m7!3m6!1s0x88891eadeade32c5:0x9a7ae12a494c1f61!8m2!3d33.4775222!4d-86.8260461!16s%2Fg%2F1th7z37b!19sChIJxTLe6q0eiYgRYR9MSSrhepo?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
Third+Avenue+Package+Store,Third Avenue Package Store,3.9,,1 205-780-3999,Liquor store,Retail,1501  3rd Ave,Birmingham,AL,35208,United States,"1501  3rd Ave, Birmingham, AL 35208, United States",https://www.google.com/maps/place/Third+Avenue+Package+Store/data=!4m7!3m6!1s0x88891c3359ea06b1:0x75073062967a4620!8m2!3d33.504927!4d-86.8614159!16s%2Fg%2F1tdmfndv!19sChIJsQbqWTMciYgRIEZ6lmIwB3U?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
ABC+Select+Spirits,ABC Select Spirits,4.4,http://www.alabcboard.gov/,1 205-251-0601,State liquor store,Other,2911  7th Ave,Birmingham,AL,35233,United States,"2911  7th Ave, Birmingham, AL 35233, United States",https://www.google.com/maps/place/ABC+Select+Spirits/data=!4m7!3m6!1s0x88891bb42c98f657:0x97297f9f450f5712!8m2!3d33.5116751!4d-86.7864896!16s%2Fg%2F11ggs9k97d!19sChIJV_aYLLQbiYgRElcPRZ9_KZc?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
Villa+Spirits,Villa Spirits,4.3,,1 205-854-4400,Liquor store,Retail,1157  Huffman Rd,Birmingham,AL,35215,United States,"1157  Huffman Rd, Birmingham, AL 35215, United States",https://www.google.com/maps/place/Villa+Spirits/data=!4m7!3m6!1s0x88890e5c525c156d:0xe8a9b195a2a2a83f!8m2!3d33.6099851!4d-86.6841564!16s%2Fg%2F1td_zcb2!19sChIJbRVcUlwOiYgRP6iiopWxqeg?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
Hop+City+Beer+%26+Wine+Birmingham,Hop City Beer & Wine Birmingham,4.8,https://www.hopcitybeer.com/birmingham/,1 205-279-2337,Beer store,Other,2924  3rd Ave,Birmingham,AL,35233,United States,"2924  3rd Ave, Birmingham, AL 35233, United States",https://www.google.com/maps/place/Hop+City+Beer+%26+Wine+Birmingham/data=!4m7!3m6!1s0x88891bb102b46575:0x39ecc7af01618117!8m2!3d33.5167405!4d-86.7894615!16s%2Fg%2F1hg4s4jrs!19sChIJdWW0ArEbiYgRF4FhAa_H7Dk?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
Sunny%27s+Package+Store,Sunny's Package Store,4.2,,1 205-202-4085,Liquor store,Retail,429  Valley Ave,Birmingham,AL,35209,United States,"429  Valley Ave, Birmingham, AL 35209, United States",https://www.google.com/maps/place/Sunny%27s+Package+Store/data=!4m7!3m6!1s0x8889194cef02d43b:0x9b648ab4cec41717!8m2!3d33.4724456!4d-86.8197198!16s%2Fg%2F1tdmfnd5!19sChIJO9QC70wZiYgRFxfEzrSKZJs?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
ABC+Select+Spirits,ABC Select Spirits,4.5,http://www.alabcboard.gov/,1 205-941-1719,State liquor store,Other,261 W Valley Ave,Birmingham,AL,35209,United States,"261 W Valley Ave, NULL, Homewood, AL 35209, United States",https://www.google.com/maps/place/ABC+Select+Spirits/data=!4m7!3m6!1s0x88891eb839e29025:0xe813bb9262cec6e4!8m2!3d33.4673464!4d-86.8329831!16s%2Fg%2F1tdj4zwk!19sChIJJZDiObgeiYgR5MbOYpK7E-g?authuser=0&hl=en&rclk=1,"liquor store in Birmingham, AL"
